[i] Train : 19923
[i] Valid : 2213
[i] pred_bboxes_op : Tensor("SSD_Decode/concat:0", shape=(?, 22890, 4), dtype=float32)
[i] pred_classes_op : Tensor("SSD/Softmax:0", shape=(?, 22890, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 22890, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 22890, 21), dtype=float32)
[i] max_iteration : 62200
[i] decay_iteration : [31100 46650]
[i] iter : 8600, loss : 7.6785, focal_loss : 0.3195, giou_loss : 0.1847, l2_reg_loss : 7.1743, train_time : 74sec
[i] iter : 8650, loss : 7.6532, focal_loss : 0.3103, giou_loss : 0.1846, l2_reg_loss : 7.1582, train_time : 74sec
[i] iter : 8700, loss : 7.6265, focal_loss : 0.3020, giou_loss : 0.1823, l2_reg_loss : 7.1422, train_time : 73sec
[i] iter : 8750, loss : 7.6103, focal_loss : 0.3021, giou_loss : 0.1821, l2_reg_loss : 7.1261, train_time : 74sec
[i] iter : 8800, loss : 7.5703, focal_loss : 0.2869, giou_loss : 0.1734, l2_reg_loss : 7.1099, train_time : 74sec
[i] iter : 8850, loss : 7.5740, focal_loss : 0.2989, giou_loss : 0.1814, l2_reg_loss : 7.0937, train_time : 73sec
[i] iter : 8900, loss : 7.5437, focal_loss : 0.2931, giou_loss : 0.1732, l2_reg_loss : 7.0774, train_time : 75sec
[i] iter : 8950, loss : 7.5434, focal_loss : 0.3019, giou_loss : 0.1803, l2_reg_loss : 7.0612, train_time : 75sec
[i] iter : 9000, loss : 7.5253, focal_loss : 0.3012, giou_loss : 0.1788, l2_reg_loss : 7.0453, train_time : 75sec
[i] iter : 9050, loss : 7.4890, focal_loss : 0.2848, giou_loss : 0.1750, l2_reg_loss : 7.0293, train_time : 75sec
[i] iter : 9100, loss : 7.4862, focal_loss : 0.2945, giou_loss : 0.1785, l2_reg_loss : 7.0132, train_time : 75sec
[i] iter : 9150, loss : 7.4719, focal_loss : 0.2946, giou_loss : 0.1801, l2_reg_loss : 6.9972, train_time : 75sec
[i] iter : 9200, loss : 7.4536, focal_loss : 0.2945, giou_loss : 0.1779, l2_reg_loss : 6.9812, train_time : 75sec
[i] iter : 9250, loss : 7.4338, focal_loss : 0.2929, giou_loss : 0.1758, l2_reg_loss : 6.9652, train_time : 75sec
[i] iter : 9300, loss : 7.4236, focal_loss : 0.2975, giou_loss : 0.1769, l2_reg_loss : 6.9492, train_time : 76sec
[i] iter : 9350, loss : 7.4104, focal_loss : 0.2979, giou_loss : 0.1792, l2_reg_loss : 6.9333, train_time : 76sec
[i] iter : 9400, loss : 7.4034, focal_loss : 0.3040, giou_loss : 0.1821, l2_reg_loss : 6.9174, train_time : 75sec
[i] iter : 9450, loss : 7.3711, focal_loss : 0.2922, giou_loss : 0.1772, l2_reg_loss : 6.9017, train_time : 75sec
